Country,Locality,lon,lat,Code_color,Status,Tag
Croatia,Cres,14.5185,44.6767,tan3,Wild,CRES
Croatia,Zečevo,15.8711,43.6724,tan3,Wild,ZECE
Croatia,Molunat,18.2086,42.5431,tan3,Wild,MOLU
Denmark,Venø._Station_5,8.688497442,56.52527582,seagreen,Wild,VENO
Denmark,Nissum_Station_1,8.333110177,56.62974821,seagreen,Wild,NISS
Denmark,Fur,9.013793907,56.84438203,seagreen,Wild,FURI
Denmark,Løgstør,9.140570528,56.97357973,seagreen,Wild,LOGS
Denmark,Hals,10.36706482352431,57.004718683560434,seagreen,Wild,HALS
Denmark,Thisted,8.694316983439798,56.94912297297896,seagreen,Wild,THIS
England,Tollesbury,0.873861426,51.75141994,plum3,Cultured,TOLL
England,Barrow_Deep,1.161081224,51.75417428,plum3,Cultured,BARR
England,River_Colne,1.00115131,51.80530352,plum3,Cultured,COLN
Corsica,Étang_de_Diane,9.536068466,42.70701581,thistle3,NA,CORS
Sardinia,Golfo_di_Oristano,8.295242,39.541396,thistle4,Wild,ORIS
France,Morlaix,-3.851916487,48.62658237,thistle2,Wild,MORL
Netherlands,Wadden_Sea,6.586853503,53.48848658,springgreen1,Wild,WADD
Netherlands,Lake_Grevelingen,3.907091117,51.76154379,springgreen1,Cultured,GREV
Norway,Innerøyen_lagoon,5.409845737,60.17063094,darkblue,Cultured,INNE
Norway,Haugevågen,5.190326,59.290170,darkblue,Wild,HAUG
Norway,Hafrsfjord,5.662765418,58.93247195,darkblue,Wild,HAFR
Norway,Aga_Bømlo,5.242439352,59.84047175,darkblue,Cultured,AGAB
Norway,Ostrevigtjønn_Hauge_I_Dalane,6.250541688,58.32230603,darkblue,Cultured,OSTR
Norway,Vågstranda,7.167058078,62.615043,darkblue,NA,VAGS
Norway,Langesand_Sørlandsleia,8.954965771,58.62348802,darkblue,Wild,LANG
Norway,Bunnefjorden_Oslofjord,10.7245,59.7474,darkblue,Wild,BUNN
Norway,Dolvågskiten_Agder,8.14725640611987,58.129163479886486,darkblue,Wild,DOLV
Scotland,Loch_Nell,-5.421022592,56.39505196,purple2,Cultured,NELL
Scotland,Loch_Ryan,-5.035333,54.952,purple2,Wild,RYAN
Ireland,Tralee_Bay,-9.935667,52.288,forestgreen,Wild,TRAL
Ireland,Clew_Bay,-9.606833,53.801167,forestgreen,Wild,CLEW 
Spain,Pontedeume,-8.18018945,43.41313433,sienna1,Wild,PONT
Spain,Ría_Eo,-7.042791952,43.51674093,sienna1,Wild,RIAE
Sweden,Kalvö,11.14794005,58.76564257,deepskyblue3,Wild,KALV
Sweden,Klevkilen,11.28639,58.37366,deepskyblue3,Cultured,KLEV
Sweden,Svallhagen_Tjärnö,11.15399,58.86836,deepskyblue3,Wild,SVAL
Sweden,Sydkoster,11.04764,58.89518,deepskyblue3,Cultured,SYDK
Sweden,Väderöarna,11.06491,58.58228,deepskyblue3,Wild,VADE
Sweden,Gåsö_N,11.40287,58.24189,deepskyblue3,Wild,GASO
Sweden,Halsefjord,11.77585,58.12099,deepskyblue3,Wild,HFJO
Sweden,Ramsholmen,11.05228,58.85028,deepskyblue3,Wild,RAMS
Sweden,Lilla_Tenholmen,10.99123,58.88207,deepskyblue3,Wild,LILL
Sweden,Bovallstrand,11.31499,58.48281,deepskyblue3,Wild,BOVA
Sweden,Örnevik,11.31673,58.38378,deepskyblue3,Wild,ORNE
Sweden,Havstensund,11.16155,58.76366,deepskyblue3,Wild,HAVS
Sweden,Havstensund(Hatchery_broodstock),11.16155,58.76366,deepskyblue3,Cultured,Havs
Sweden,Hyppeln_GothenburgArchipelago,11.6169,57.7632,deepskyblue3,Cultured,HYPP
Sweden,Hallands_Väderö,11.6169,57.7632,deepskyblue3,Wild,HVAD
USA,Maine,44.08432368,-68.07649021,black,Cultured,USAM